400,0,10.1,10.1,0,0
420,10.1,20.1,10,0,0
440,20.1,30.1,10,0,0
460,30.1,40,9.9,0,0
480,40,50,10,0,0
500,50,60.1,10.1,0,0
520,60.1,70.1,10,0,0
540,70.1,80.2,10.1,0,0
560,80.2,90.1,9.9,0,0
580,90.1,100,9.9,0,0
600,100,110.1,10.1,0,0
620,110.1,120.1,10,1972,197.2
640,120.1,130,9.9,2318,234.1414141
660,130,140,10,3502,350.2
680,140,150.1,10.1,3806,376.8316832
700,150.1,160,9.9,3939,397.8787879
720,160,170.1,10.1,4156,411.4851485
740,170.1,180.1,10,4251,425.1
760,180.1,190.1,10,4257,425.7
780,190.1,200.1,10,4394,439.4
800,200.1,210.1,10,4396,439.6
820,210.1,220,9.9,4525,457.0707071
840,220,230.1,10.1,4648,460.1980198
860,230.1,240.1,10,4677,467.7
880,240.1,250.1,10,4724,472.4
900,250.1,260.2,10.1,4897,484.8514851
920,260.2,270.4,10.2,5009,491.0784314
940,270.4,280.2,9.8,4801,489.8979592
960,280.2,290,9.8,4954,505.5102041
980,290,300.2,10.2,5257,515.3921569
1000,300.2,310.1,9.9,5034,508.4848485
