file,group_id,peak_in_group,n_peaks_in_group,theoretical_energy_keV,theoretical_energy_keV_err,clicked_center_ADC,center_ADC,center_ADC_err,sigma_ADC,sigma_ADC_err,amplitude_counts_per_s,amplitude_counts_per_s_err,gaussian_area_counts,fit_xmin,fit_xmax,background_slope,background_intercept,day,preamp,product,is_overnight_co57,center_keV,center_keV_err,cal_slope_keV_per_ADC,cal_slope_err,cal_offset_keV,cal_offset_err,cal_extra_sigma_keV,day_check,preamp_check,sigma_keV,sigma_keV_err,fwhm_keV,fwhm_keV_err,resolution_percent,fit_xmin_keV,fit_xmax_keV,theoretical_minus_fit_keV
data/Co57_runs_overnight/Co57_22.2C_preamp0_feb25_overnight.csv,1,1,1,14.4136,0.0003,9,9.417134347867623,0.131459763,0.6041461297572431,0.3028559348403046,0.015128193,0.004873827,0.022909678,7,20,-0.000201439,0.004039808,,0,Co57,True,8.491021885388328,2.051067996905575,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,,0,0.7960060512238489,0.3990442918359444,1.8744510053632162,0.9396774972581117,22.07568218130308,5.306273241385989,22.434709816934497,5.922578114611673
data/Co57_runs_overnight/Co57_22.2C_preamp0_feb25_overnight.csv,2,1,1,122.06,0.01,101,103.61171013300846,0.017590305,4.345673735677099,0.021927996,1.9670428288068185,0.007003322,21.42697522,88,117,0.003460573,-0.156599984,,0,Co57,True,132.59916166204079,2.0988234671930446,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,,0,5.725738227659395,0.03519261993243915,13.483083150915116,0.08287228685297425,10.168301957503946,112.0296088274959,150.2391981114118,-10.539161662040783
data/feb_24/Na22/Na_22.5C_feb24_run1.csv,1,1,1,511.006,,290,295.35829443456765,0.04213658,9.763087287074107,0.053844503,15.31369080881132,0.060344859,374.76323618355815,244,325,-0.007689164,2.540138736685709,feb24,0,Na22,False,385.23910072260395,2.4583171568449274,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,feb24,0,12.863570875245598,0.08408985288382101,30.291394547306528,0.19801647115192275,7.863011436400951,317.5708477340779,424.29418332018787,125.76689927739602
data/feb_24/Na22/Na_22.5C_feb24_run1.csv,2,1,1,1274.537,0.008,708,706.4629323027395,0.3444840617453281,16.19399167395845,0.4250995047598276,2.0939663997041627,0.039015269,84.99894874074666,648,760,-0.000685291,0.5441092446799787,feb24,0,Na22,False,926.8990788486669,3.879734811890885,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,feb24,0,21.33675071479676,0.565082623079426,50.24420827837149,1.330667887908612,5.420677334233791,849.8699536203545,997.4380225789263,347.6379211513331
data/feb_24/Na22/Na_22.5C_feb24_run1.csv,3,1,1,1785.363,0.008,979,991.0212796,1.6125319822575106,20.53494672865021,2.2820761922430486,0.1081776350685576,0.014106342,5.568279128321281,937,1022,-0.000370611,0.3482075085427866,feb24,0,Na22,False,1301.8252022120537,5.448706948702163,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,feb24,0,27.056271740304027,3.0082987364594245,63.71265103703495,7.084002165962825,4.894101829398815,1230.6482744152406,1342.6418981784423,483.5377977879464
data/feb_24/co60/Co_22.4C_feb24_run1.csv,1,1,2,1173.228,0.003,652,650.5445406937112,0.188358139,14.862191116827574,0.2483034089309515,14.480000284460958,0.1772787814953614,539.4377637357175,597,808,-0.011551499,9.266211029273627,feb24,0,Co60,False,853.2225693039034,3.644921223584086,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,feb24,0,19.58200753217396,0.3342977537399967,46.11210385810422,0.7872110515054179,5.404463678887973,782.6737793624335,1060.6814807040284,320.0054306960967
data/feb_24/co60/Co_22.4C_feb24_run1.csv,1,2,2,1332.494,0.002,735,736.6008895568606,0.2367772441099285,16.353132143407297,0.2848469395175875,12.164878455811232,0.162301319,498.6532505308634,597,808,-0.011551499,9.266211029273627,feb24,0,Co60,False,966.6080087981903,3.984164494129118,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,feb24,0,21.546429748455036,0.38284833208206487,50.73796466984623,0.9015389265816629,5.249073482530949,782.6737793624335,1060.6814807040284,365.8859912018096
data/feb_26/co60/Co_22.8C_feb26_run1.csv,1,1,2,1173.228,0.003,647,650.6826423379538,0.1957356574762268,14.913668132089038,0.2633737164738492,14.600645469025244,0.1869498011743747,545.816254,599,799,-0.012090035,9.600858550483084,feb26,0,Co60,False,853.4045281696256,10.888897164467277,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,10.26030551199777,feb26,0,19.64983220840508,0.3537997395515102,46.2718187652389,0.8331347186116754,5.422026394034056,785.3089234509795,1048.8233323055717,319.8234718303745
data/feb_26/co60/Co_22.8C_feb26_run1.csv,1,2,2,1332.494,0.002,737,736.8207255132596,0.2474774903842455,16.478581568177503,0.3141865096072736,12.268609938969789,0.1734460016687123,506.7632575921397,599,799,-0.012090035,9.600858550483084,feb26,0,Co60,False,966.8976585086676,11.007422812542396,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,10.26030551199777,feb26,0,21.711718403502385,0.42091769739476703,51.12718970796281,0.9911854311204417,5.287756078220402,785.3089234509795,1048.8233323055717,365.5963414913323
data/feb_26/cs137/Cs_22.4C_feb26_run1.csv,1,1,1,661.657,0.003,504,503.19080252323846,0.1862429146671071,15.47296343205518,0.2147794460505729,91.29322119979422,0.9631750534035344,3540.8046291747914,439,573,-0.017187755,9.949679677375102,feb26,0,Cs137,False,659.0734032713708,10.72021057267767,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,10.26030551199777,feb26,0,20.38674406013373,0.29189192211855813,48.007113565087586,0.6873529491783595,7.284031388127621,574.4973963673056,751.0520502998825,2.5835967286292316
data/feb_26/cs137/Cs_22.4C_feb26_run1.csv,2,1,1,1323.314,0.004242641,993,1008.1943561542304,34.18321247,40.96999386821914,37.21810224175251,0.5658125710560575,1.2439946836109876,58.10699618852615,923,1023,-0.004327471,4.130032251029869,feb26,0,Cs137,False,1324.4519677940673,46.47235625448763,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,10.26030551199777,feb26,0,53.98091857480021,49.037896996569046,127.11534910745235,115.47542281216607,9.597580901266547,1212.2022657954192,1343.9594702227153,-1.1379677940672082
data/feb_26/na22/Na_22.6C_feb26_run1.csv,1,1,1,511.006,,297,295.0399401,0.046468405,9.692085569,0.056436723,15.19690289493154,0.063633407,369.2004846,260,329,-0.007821691,2.6810021774950843,feb26,0,Na22,False,384.8196459512045,10.550537424945128,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,10.26030551199777,feb26,0,12.770020996415804,0.08682074982324146,30.071101417430807,0.2044472420056992,7.814336334908392,338.65200044244534,429.5644714972797,126.18635404879547
data/feb_26/na22/Na_22.6C_feb26_run1.csv,2,1,1,1274.537,0.008,709,705.8412272592964,0.328534585,16.15407927409069,0.3997997261341335,2.054572937317702,0.036496328,83.19432593214887,649,764,-0.000732966,0.5902387217057247,feb26,0,Na22,False,926.0799376636427,10.967625215620053,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,10.26030551199777,feb26,0,21.284163252511156,0.5320347072932019,50.12037426806567,1.2528459933697396,5.412100211836105,851.1875256646275,1002.7083107560181,348.45706233635735
data/feb_26/na22/Na_22.6C_feb26_run1.csv,3,1,1,1785.363,0.008,991,989.0594577834484,1.060765414828584,18.220325737318376,1.5927950592723006,0.1034953669962936,0.008113678,4.726797312830036,940,1023,-0.000213723,0.2043852566745679,feb26,0,Na22,False,1299.2403606307205,11.502980542153962,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,10.26030551199777,feb26,0,24.006591829037834,2.100312736721685,56.5312036511515,4.945858533201031,4.351096638016098,1234.6009905480594,1343.9594702227153,486.12263936927957
