file,day,product,preamp,cal_slope_keV_per_ADC,cal_offset_keV,cal_extra_sigma_keV,n_peaks,mean_peak_energy_keV,median_peak_energy_keV,mean_sigma_keV,mean_fwhm_keV,mean_resolution_percent,total_gaussian_area_counts,total_peak_amplitude_counts_per_s,n_labeled_peaks,group_id,peak_in_group,strongest_peak_keV,strongest_peak_keV_err,strongest_peak_amplitude_counts_per_s,strongest_peak_sigma_keV,strongest_peak_fwhm_keV
data/feb_24/co60/Co_22.4C_feb24_run1.csv,feb24,Co60,0,1.317572044272962,-3.916731068524743,0.0,2,909.9152890510468,909.9152890510468,20.5642186403145,48.42503426397522,5.3267685807094605,1038.0910142665807,26.64487874027219,2,1,1,853.2225693039034,3.644921223584086,14.480000284460958,19.58200753217396,46.11210385810422
data/feb_24/Na22/Na_22.5C_feb24_run1.csv,feb24,Na22,0,1.317572044272962,-3.916731068524743,0.0,3,871.3211272611082,926.8990788486669,20.418864443448797,48.08275128757099,6.059263533344519,465.3304640526261,17.515834843584038,3,1,1,385.23910072260395,2.4583171568449274,15.31369080881132,12.863570875245598,30.291394547306528
data/feb_26/co60/Co_22.8C_feb26_run1.csv,feb26,Co60,0,1.317572044272962,-3.916731068524743,10.26030551199777,2,910.1510933391467,910.1510933391467,20.68077530595373,48.69950423660086,5.354891236127228,1052.5795115921396,26.869255407995034,2,1,1,853.4045281696256,10.888897164467277,14.600645469025244,19.64983220840508,46.2718187652389
data/feb_26/cs137/Cs_22.4C_feb26_run1.csv,feb26,Cs137,0,1.317572044272962,-3.916731068524743,10.26030551199777,2,991.762685532719,991.762685532719,37.18383131746697,87.56123133626997,8.440806144697085,3598.9116253633174,91.85903377085027,2,1,1,659.0734032713708,10.72021057267767,91.29322119979422,20.38674406013373,48.007113565087586
data/feb_26/na22/Na_22.6C_feb26_run1.csv,feb26,Na22,0,1.317572044272962,-3.916731068524743,10.26030551199777,3,870.0466480818559,926.0799376636427,19.353592025988263,45.57422644554933,5.859177728253531,457.1216078449789,17.354971199245536,3,1,1,384.8196459512045,10.550537424945128,15.19690289493154,12.770020996415804,30.071101417430807
data/mar_3/co60/Co_22.5C_mar3_run1.csv,mar3,Co60,0,1.317572044272962,-3.916731068524743,14.485489268493806,2,906.2130612205405,906.2130612205405,20.49879011726178,48.27096186637594,5.328940987007348,318.13526012206984,8.193362945106752,2,1,1,850.1428795551548,14.935783002074196,4.420823538316338,19.371294405869588,45.61591236453807
data/mar_3/cs137/Cs_22.5C_mar3_run1.csv,mar3,Cs137,0,1.317572044272962,-3.916731068524743,14.485489268493806,3,663.3943793978077,661.5966936249312,22.03548975599813,51.88961297881656,15.438649230518818,1108.2985871880758,33.27795778136975,3,2,1,661.5966936249312,14.81612826293984,28.712067463978663,19.512025492728363,45.947308748827744
data/mar_3/na22/Na_22.5C_mar3_run1.csv,mar3,Na22,0,1.317572044272962,-3.916731068524743,14.485489268493806,2,653.4403079541,653.4403079541,17.084287320878897,40.230422237744975,6.62581464345126,126.77450183873,4.843797174097569,2,1,1,384.1184795451197,14.692277432441454,4.245071881677427,12.66460802311974,29.822872834910186
data/mar_5/co60/Co_22.0C_mar5_run1.csv,mar5,Co60,0,1.317572044272962,-3.916731068524743,0.0,2,907.402073024652,907.402073024652,20.699537132735614,48.74368496238765,5.373093261787699,430.80875557257787,10.99314131542781,2,1,1,851.3003016754717,3.6425244131794323,5.957421275705214,19.501001018331582,45.92134809553262
data/mar_5/cs137/Cs_21.9C_mar5_run1.csv,mar5,Cs137,0,1.317572044272962,-3.916731068524743,0.0,3,665.135717412715,661.7397147545809,23.112647662850005,54.42612600950159,16.877789447433308,1491.8484836419937,44.49854619478097,3,2,1,661.7397147545809,3.11426720786726,38.14128257624465,19.702970952819523,46.39695094575216
data/mar_5/na22/Na_22.1C_mar5_run1.csv,mar5,Na22,0,1.317572044272962,-3.916731068524743,0.0,2,654.1321667932829,654.1321667932829,17.04419280221066,40.13600686149038,6.608588269783203,172.46696859122437,6.598439620511572,2,1,1,384.46513085026703,2.457109799846757,5.787871246096765,12.662227545084098,29.817267237515175
