file,day,preamp,feature_label,center_ADC,center_ADC_err,center_keV,center_keV_err,sigma_ADC,sigma_ADC_err,sigma_keV,sigma_keV_err,amplitude_counts_per_s,amplitude_counts_per_s_err,gaussian_area_counts,gaussian_area_counts_err,fit_xmin,fit_xmax,background_slope,background_slope_err,background_intercept,background_intercept_err,fit_chi2,fit_redchi2,calibration_slope_keV_per_ADC,calibration_slope_err,calibration_offset_keV,calibration_offset_err,calibration_extra_sigma_keV,compton_region_length_ADC,compton_region_length_ADC_err,compton_region_length_keV,compton_region_length_keV_err,compton_region_slope_counts_per_s_per_ADC,compton_region_slope_err_per_ADC,compton_region_slope_counts_per_s_per_keV,compton_region_slope_err_per_keV,compton_region_intercept,compton_region_intercept_err,compton_region_redchi2,compton_region_average_drop_per_ADC,compton_region_average_drop_per_keV,compton_region_average_drop_per_keV_err
calibration/daily/Cs_21.9C_preamp0_mar5.csv,mar5,0,backscatter_peak,152.34550027449745,8.495142903899488,196.80944116393192,11.399721417247822,11.411200767152136,12.191034002142652,15.035079122385833,16.062652259693124,3.3833062901575954,4.015823236360908,96.77487002608098,154.5432746720641,134.31000000000006,181.83000000000004,0.0192067185394152,0.1103337935887642,1.883266614515949,20.77120261019972,0.0889481018053044,0.0021178119477453,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,181.05150775060247,19.5404751532069,238.5484051856634,25.96302254588808,-0.0126671752349089,0.0008601983800158,-0.0096140285383018,0.0006537375777996,7.8563503987980114,0.2192383619872785,0.0723814394016924,-0.0126671752349089,-0.0096140285383018,0.0006537375777996
calibration/daily/Cs_21.9C_preamp0_mar5.csv,mar5,0,compton_edge,333.3970080251,17.597236040225816,435.3578463495953,23.32648476147732,5.537147546551697,21.566336134494566,7.295590812351135,28.415213123585595,0.3349100479295903,0.9281653002666592,4.648407655219747,22.2203655213375,313.8300000000001,352.11000000000007,-0.0029994626692664,0.0329724037826468,5.017046066081979,10.972769794020769,2.0813593644978354,0.0612164518969951,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,181.05150775060247,19.5404751532069,238.5484051856634,25.96302254588808,-0.0126671752349089,0.0008601983800158,-0.0096140285383018,0.0006537375777996,7.8563503987980114,0.2192383619872785,0.0723814394016924,-0.0126671752349089,-0.0096140285383018,0.0006537375777996
calibration/daily/Cs_22.0C_preamp0_mar3.csv,mar3,0,backscatter_peak,154.14592095608256,8.569694585993274,199.18162512191927,18.493333989691727,10.640603001369056,17.667129283905833,14.01976104881084,23.27776764689895,2.477300563401927,4.105458833140409,66.0746506579931,155.00354512492666,135.63000000000005,173.91000000000005,0.0165826625536078,0.0832506964596872,1.5216422330465815,14.026323578740149,0.0422968179396925,0.0012817217557482,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,14.485489268493806,181.9091416093498,34.04813525854058,239.6783995821707,49.43105567942519,-0.0107361455258785,0.0007278734585287,-0.0081484314823959,0.0005531750841434,6.221884356260934,0.1878937182802136,0.0693036998895401,-0.0107361455258785,-0.0081484314823959,0.0005531750841434
calibration/daily/Cs_22.0C_preamp0_mar3.csv,mar3,0,compton_edge,336.0550625654324,32.952023447531595,438.8600247040901,45.84131175618937,5.3987965153075965,51.186167207835474,7.113303361287573,67.44146758690367,0.2103135725774969,1.453718448195997,2.8461264662415653,33.394145090695055,323.0700000000001,349.4700000000001,-0.0097521578541342,0.0732250712746211,6.278416371621055,25.025002954911777,0.0268503636167789,0.0012785887436561,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,14.485489268493806,181.9091416093498,34.04813525854058,239.6783995821707,49.43105567942519,-0.0107361455258785,0.0007278734585287,-0.0081484314823959,0.0005531750841434,6.221884356260934,0.1878937182802136,0.0693036998895401,-0.0107361455258785,-0.0081484314823959,0.0005531750841434
calibration/daily/Cs_22.4C_preamp0_feb26.csv,feb26,0,backscatter_peak,142.8365540737704,16.339436481651898,184.2807194793584,23.94486238913868,10.236122120798775,33.948153553654656,13.486828348128531,44.72916312024188,4.735008646013084,21.661652316551383,121.49157691397689,686.4852131692113,130.35000000000002,159.39000000000004,0.0785430039092281,0.4805257705311933,-0.032053100821357,87.20260463150139,0.0321033898957707,0.0013376412456571,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,10.26030551199777,194.855254120957,86.63614451187807,256.73583550947683,115.11667585339278,-0.021419947134553,0.0012094481092026,-0.0162571354087682,0.0009197083908823,16.34397129961393,0.3044853144880668,0.0767488901962965,-0.021419947134553,-0.0162571354087682,0.0009197083908823
calibration/daily/Cs_22.4C_preamp0_feb26.csv,feb26,0,compton_edge,337.6918081947274,85.08139838616361,441.0165549888352,112.5988127144346,13.902989537762322,102.71430989310656,18.318190346775104,135.33351853133564,2.58359536066351,37.318277267836486,90.03733380420877,1460.7704218429687,309.87000000000006,348.15000000000015,-0.0732064860952124,0.9249176631926564,32.51620175194132,275.4949797350005,1.911821720182761,0.0562300505936106,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,10.26030551199777,194.855254120957,86.63614451187807,256.73583550947683,115.11667585339278,-0.021419947134553,0.0012094481092026,-0.0162571354087682,0.0009197083908823,16.34397129961393,0.3044853144880668,0.0767488901962965,-0.021419947134553,-0.0162571354087682,0.0009197083908823
calibration/feb_24/preamp_0/Cs_22.1C_preamp0_feb24.csv,feb24,0,backscatter_peak,146.10009992218622,9.37368034601796,188.58067625443417,12.536594773991968,10.61228656834244,13.816078073413436,13.982452108261445,18.203744371694786,4.439946401797223,6.841540313727094,118.10726984500336,238.2525735675259,130.35000000000002,171.27000000000004,0.0537702824536167,0.1989343699341979,1.0119847802163284,35.754236391013656,0.1155217530321669,0.0032089375842268,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,189.5196967304453,25.528674978897467,249.7058542511245,33.802166341300484,-0.0184895636454032,0.0011403899102719,-0.014033057035303,0.0008669237871286,13.342763680604053,0.2878761809408124,0.0779306609861488,-0.0184895636454032,-0.014033057035303,0.0008669237871286
calibration/feb_24/preamp_0/Cs_22.1C_preamp0_feb24.csv,feb24,0,compton_edge,335.6197966526315,23.74547036697446,438.28653050555874,31.39140393224974,8.701681284119017,35.10155371301747,11.465091998128466,46.24884338596538,1.0939958761055262,4.826343452764058,23.86210714600572,142.6446977172627,313.8300000000001,349.4700000000001,-0.0275839592624562,0.1708089139510339,16.66310980678935,52.79107559660995,1.9992806188541308,0.0644929231888429,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,189.5196967304453,25.528674978897467,249.7058542511245,33.802166341300484,-0.0184895636454032,0.0011403899102719,-0.014033057035303,0.0008669237871286,13.342763680604053,0.2878761809408124,0.0779306609861488,-0.0184895636454032,-0.014033057035303,0.0008669237871286
cs gain setting/Cs_possible_calcurve_feb_24.csv,feb24,0,backscatter_peak,144.50167656690914,5.187995274459729,186.4746383266081,7.165632815541354,9.649159802957628,9.671341502705772,12.713463207099371,12.74276730827756,4.707808827813539,4.196869293581021,113.8670979060868,152.73993869385947,126.39000000000004,164.67000000000007,0.1028057074819848,0.1040102771222222,-6.22685517670006,16.920731227003113,6.250811375849785,0.1894185265409025,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,190.88905604906083,25.7774997771742,251.51008380789705,34.128219829102754,-0.0191498964404817,0.0011598263715813,-0.0145342309923164,0.0008817520873805,13.523909033115594,0.2921059513138982,0.0826673455948817,-0.0191498964404817,-0.0145342309923164,0.0008817520873805
cs gain setting/Cs_possible_calcurve_feb_24.csv,feb24,0,compton_edge,335.39073261597,25.250033659272603,437.9847221345052,33.3674855968561,9.135773641061713,34.72938024400378,12.03703995226872,45.75848002420779,1.1348394976378675,5.042640810085663,25.98781146717112,151.9692256933875,308.5500000000001,349.4700000000001,-0.0261800946620332,0.1775039567890974,16.143682509528315,54.5118502608094,2.004655974810394,0.0556848881891776,1.317572044272962,0.0046240263694646,-3.916731068524743,2.043277475970123,0.0,190.88905604906083,25.7774997771742,251.51008380789705,34.128219829102754,-0.0191498964404817,0.0011598263715813,-0.0145342309923164,0.0008817520873805,13.523909033115594,0.2921059513138982,0.0826673455948817,-0.0191498964404817,-0.0145342309923164,0.0008817520873805
