file,group_id,peak_in_group,n_peaks_in_group,theoretical_energy_keV,theoretical_energy_keV_err,clicked_center_ADC,center_ADC,center_ADC_err,sigma_ADC,sigma_ADC_err,amplitude_counts_per_s,amplitude_counts_per_s_err,gaussian_area_counts,fit_xmin,fit_xmax,background_slope,background_intercept
calibration/daily/Co60_21.9C_preamp100_mar5.csv,1,1,2,1173.228,0.003,652,649.0758647154506,0.2236190115384584,14.749785136516978,0.2970550317422767,5.958859832180194,0.087479268,220.3123271237105,597,792,-0.005121428,3.9973368831119473
calibration/daily/Co60_21.9C_preamp100_mar5.csv,1,2,2,1332.494,0.002,732,734.2055554068587,0.2821246669639414,16.329201184625326,0.3699671442261081,5.032531102618766,0.083151819,205.9877252414959,597,792,-0.005121428,3.9973368831119473
calibration/daily/Co60_22.4C_preamp100_feb26.csv,1,1,2,1173.228,0.003,652,651.1422313168698,0.1840834446705254,14.86428951672442,0.2390542874515789,14.550274602656144,0.1728240263027044,542.1322954891963,596,815,-0.011298837,9.124644927089696
calibration/daily/Co60_22.4C_preamp100_feb26.csv,1,2,2,1332.494,0.002,740,737.3342325996165,0.2296091056636683,16.27041532725255,0.2698369168790389,12.265332058301796,0.1581762134869263,500.22786883964216,596,815,-0.011298837,9.124644927089696
calibration/daily/Co60_22.5C_preamp100_mar3.csv,1,1,2,1173.228,0.003,645,648.6843169238734,0.2228259549067435,14.592460546115891,0.2922195543470666,4.4662194676913645,0.065575807,163.36481384475212,596,790,-0.003906658,3.0434453248450075
calibration/daily/Co60_22.5C_preamp100_mar3.csv,1,2,2,1332.494,0.002,731,733.6875082541825,0.2856496562523629,16.37371735444776,0.3807270758973873,3.746268302847812,0.063010492,153.75742642026688,596,790,-0.003906658,3.0434453248450075
calibration/daily/Cs_21.9C_preamp0_mar5.csv,1,1,1,34.55,2.75,25,26.39897034417232,0.2143156924068924,3.6707126041033606,0.2989012455140367,6.714980745257526,0.6242307925162734,61.78528992496243,21,38,0.2978556997023981,-7.165365007
calibration/daily/Cs_21.9C_preamp0_mar5.csv,2,1,1,661.657,0.003,508,505.1796378130598,0.1802305467083869,14.941342859856464,0.2045229945087409,38.22821666669679,0.406552167,1431.7381741620602,423,571,-0.007229756,3.972269441446564
calibration/daily/Cs_21.9C_preamp0_mar5.csv,3,1,1,1323.314,0.004242641,989,996.2799733663512,11.16208322610062,36.29705186483661,12.923511406285025,0.134215767,0.097194355,12.211382192492623,911,1023,-0.000961493,0.9062042064622552
calibration/daily/Cs_22.0C_preamp0_mar3.csv,1,1,1,34.55,2.75,26,27.29665710678943,0.088788654,3.152503349720124,0.1381593085962052,4.331147368608086,0.1464168713225636,34.22539364323405,21,35,0.214594102,-4.688065909
calibration/daily/Cs_22.0C_preamp0_mar3.csv,2,1,1,661.657,0.003,502,505.6710762814463,0.1832721777539045,14.848870640139223,0.2082099643654866,28.570615783131142,0.3097513388220854,1063.415433044461,433,572,-0.006129815,3.3577509205283413
calibration/daily/Cs_22.0C_preamp0_mar3.csv,3,1,1,1323.314,0.004242641,989,987.3463189237716,3.723048017982767,21.613111943172687,5.226239236215156,0.0329837,0.008546843,1.7869261597886787,922,1023,-0.000142579,0.1548685177971585
calibration/daily/Cs_22.4C_preamp0_feb26.csv,1,1,1,661.657,0.003,498,503.1217064772316,0.164891411,15.484002737514096,0.184903835,91.45122804064265,0.8574901480297902,3549.463506112879,429,588,-0.012007078,7.268497486508396
calibration/daily/Cs_22.4C_preamp0_feb26.csv,2,1,1,1323.314,0.004242641,983,994.9276997,4.064987034097138,24.55834876386904,5.612250312305037,0.2369434242854788,0.081474135,14.585917654686591,912,1023,-0.000888372,1.0185514150068358
calibration/feb_24/preamp_0/Ba_22.4C_preamp0_feb24.csv,1,1,6,53.15,0.05,24,41.68164562944871,0.8477239230921656,22.31473848,1.1194287329620336,39.63704093,2.142899152,2217.0881503526484,20,311,0.070301284,-5.284474846
calibration/feb_24/preamp_0/Ba_22.4C_preamp0_feb24.csv,1,2,6,80.299,0.989831299,61,62.15988531,0.043051574,4.384747305060247,0.056124807,170.9025460129889,1.7022872573255443,1878.378188705257,20,311,0.070301284,-5.284474846
calibration/feb_24/preamp_0/Ba_22.4C_preamp0_feb24.csv,1,3,6,106.3,0.070710678,90,90.12296404546927,0.8024779329951675,4.982876599244496,0.9563899699781806,10.289992825184932,1.5072746915949171,128.5242677296924,20,311,0.070301284,-5.284474846
calibration/feb_24/preamp_0/Ba_22.4C_preamp0_feb24.csv,1,4,6,160.605,0.015,117,123.73215414029494,1.7158090667402872,21.726615001495244,2.5027176556364417,13.523722333988005,1.2204941141046162,736.5093222057615,20,311,0.070301284,-5.284474846
calibration/feb_24/preamp_0/Ba_22.4C_preamp0_feb24.csv,1,5,6,302.851,0.015,232,231.7576515715268,0.4827841528188888,11.48791713937027,0.5657043682143219,23.79420576,0.964730653,685.1764718668344,20,311,0.070301284,-5.284474846
calibration/feb_24/preamp_0/Ba_22.4C_preamp0_feb24.csv,1,6,6,369.928,19.69011293,278,277.09563213692326,0.1528194876789892,10.724967484493538,0.2048346220236095,75.29538386303551,1.0707820761614852,2024.2039596578568,20,311,0.070301284,-5.284474846
calibration/feb_24/preamp_0/Cs_22.1C_preamp0_feb24.csv,1,1,1,34.55,2.75,26,22.525427245789967,1.952491170324546,6.322307555,2.177923319246703,15.974868786313818,13.38218501,253.16452675600587,21,32,1.2509016593035864,-37.68460415
