file,group_id,peak_in_group,n_peaks_in_group,theoretical_energy_keV,theoretical_energy_keV_err,clicked_center_ADC,center_ADC,center_ADC_err,sigma_ADC,sigma_ADC_err,amplitude_counts_per_s,amplitude_counts_per_s_err,gaussian_area_counts,fit_xmin,fit_xmax,background_slope,background_intercept
data/mystery/mystery_10cmdistance_angle90_preamp0.csv,1,1,11,,,58.0,60.3684511164383,1.1935385739685718,6.684299018372522,1.4423899690041435,1.3341635346039211,0.21266037840743401,22.353980620273653,38.0,781.0,-0.003644324077477403,3.328706146769877
data/mystery/mystery_10cmdistance_angle90_preamp0.csv,1,2,11,,,182.0,159.91279522284256,0.9169096259416647,63.05072980657072,2.6574663478938185,8.036644189705756,0.37521818723013123,1270.1493580645417,38.0,781.0,-0.003644324077477403,3.328706146769877
data/mystery/mystery_10cmdistance_angle90_preamp0.csv,1,3,11,,,261.0,261.2538627638438,2.1669440252980756,11.973521112992133,2.4142788562854234,2.2457984152639523,0.786045627687721,67.4035219170784,38.0,781.0,-0.003644324077477403,3.328706146769877
data/mystery/mystery_10cmdistance_angle90_preamp0.csv,1,4,11,,,322.0,307.966077783469,17.69618139085068,24.98912765769863,26.8742789427508,1.7204376991654522,0.33923759788993013,107.76555758467661,38.0,781.0,-0.003644324077477403,3.328706146769877
data/mystery/mystery_10cmdistance_angle90_preamp0.csv,1,5,11,,,358.0,352.413230937012,10.326212210343746,16.118225509134945,15.337174451961877,1.4168758711831217,2.125940620505481,57.24518541178814,38.0,781.0,-0.003644324077477403,3.328706146769877
data/mystery/mystery_10cmdistance_angle90_preamp0.csv,1,6,11,,,392.0,391.7613700802456,7.772728505996176,18.153946699036357,6.38922075328921,2.665578226268235,0.4977693388999378,121.29765988476468,38.0,781.0,-0.003644324077477403,3.328706146769877
data/mystery/mystery_10cmdistance_angle90_preamp0.csv,1,7,11,,,443.0,445.1855172182162,1.2958129680591153,15.209477572576082,1.3456731123692596,3.5277216933380253,0.2178661749174429,134.49264871881985,38.0,781.0,-0.003644324077477403,3.328706146769877
data/mystery/mystery_10cmdistance_angle90_preamp0.csv,1,8,11,,,551.0,550.1826325631322,14.368522795644163,76.0226414177399,27.0747879339502,0.8230436920386504,0.20878781547189926,156.83961952597883,38.0,781.0,-0.003644324077477403,3.328706146769877
data/mystery/mystery_10cmdistance_angle90_preamp0.csv,1,9,11,,,600.0,604.4829907426804,2.7293363737675893e-13,9.905169441540465,1.7602481720512083e-13,7.654536673467667e-25,0.20653538276898797,1.9005125922198556e-23,38.0,781.0,-0.003644324077477403,3.328706146769877
data/mystery/mystery_10cmdistance_angle90_preamp0.csv,1,10,11,,,686.0,691.1997385608923,5.448089958556708,24.026001856979086,5.586610148554344,2.017284657333306,0.20216365089456187,121.48946678295312,38.0,781.0,-0.003644324077477403,3.328706146769877
data/mystery/mystery_10cmdistance_angle90_preamp0.csv,1,11,11,,,727.0,734.4888448040361,6.0438459677645,14.96667489417623,5.4188546927871535,0.9868818020943667,0.46691417883922753,37.02374959120053,38.0,781.0,-0.003644324077477403,3.328706146769877
