file,group_id,peak_in_group,n_peaks_in_group,theoretical_energy_keV,theoretical_energy_keV_err,clicked_center_ADC,center_ADC,center_ADC_err,sigma_ADC,sigma_ADC_err,amplitude_counts_per_s,amplitude_counts_per_s_err,gaussian_area_counts,fit_xmin,fit_xmax,background_slope,background_intercept
data/mar_5/cs137/Cs_21.9C_mar5_run1.csv,1,1,1,34.55,2.75,26.0,26.451463158610228,0.11392201769580036,3.538816699523448,0.1636837221907199,6.282100089536319,0.25387220961887874,55.72535626597133,20.0,37.0,0.27730775593105644,-6.316291026053806
data/mar_5/cs137/Cs_21.9C_mar5_run1.csv,2,1,1,661.657,0.003,505.0,505.21445769625126,0.19527490114250706,14.953998939535524,0.22679634257834508,38.14128257624465,0.4379662556804384,1429.692281860328,433.0,564.0,-0.009144551889728358,4.91996218669995
data/mar_5/cs137/Cs_21.9C_mar5_run1.csv,3,1,1,1323.314,0.004242640687,986.0,991.7098627830431,9.651986305773196,34.13272638722983,14.508226482155012,0.0751635291548311,0.0539685686636744,6.430845515694326,933.0,1023.0,-0.0003973018971587343,0.386279835314266
