nbins,red_chi2,tau_us,tau_err_us,A,A_err,n_fit_bins,score_abs
50,0.7918655362061788,2.2014695163619153,0.03161434597417239,688.970647987434,13.6166858481972,48,0.20813446379382117
60,1.087695298464678,2.182894662004298,0.031128205846353698,577.034270091005,11.390853173190788,58,0.08769529846467794
70,0.6983194924782236,2.2050474518970473,0.03192690709323306,490.6270717395977,9.740121020512444,67,0.30168050752177644
80,1.143311834016526,2.178757487444904,0.03113681490078596,432.1443374817604,8.546201935944088,77,0.14331183401652603
90,1.0474900970154497,2.181449390538225,0.031461015956329205,383.6539291684894,7.621964584032189,86,0.047490097015449706
100,1.5785136488261122,2.127467664043486,0.02979630193839864,351.54876048689,6.909564708474774,96,0.5785136488261122
110,0.9082576228946527,2.1849918428430604,0.03174210136423368,313.5041738381019,6.243328184507965,104,0.09174237710534727
120,1.2526782402837928,2.135894770654226,0.030198607326253464,292.01497890163347,5.765892802505851,115,0.2526782402837928
130,1.1560308196470646,2.1414491248635628,0.03033654833711395,268.7051828399213,5.311343067233352,125,0.15603081964706456
140,1.1460914314394068,2.158572630451425,0.030913902989092603,247.08076784207688,4.907574725341619,134,0.14609143143940684
150,1.3210952271448508,2.1261340279240617,0.030022455695997707,233.12993375702607,4.610784326652359,144,0.32109522714485084
160,1.0920150577676948,2.176826397490189,0.03172762508192441,214.1296730095121,4.284509693931992,151,0.09201505776769481
170,1.227669680220004,2.15355860571355,0.031151306813071617,202.72740442748253,4.055110352741597,162,0.227669680220004
180,1.1541790311424536,2.1334973292838124,0.030591360697423832,193.5023545738647,3.8555085019210815,171,0.15417903114245357
190,1.162891265057374,2.1344855639842177,0.030666074319361566,182.82730761217786,3.6495040496245217,181,0.16289126505737395
200,1.2633353677737706,2.1362494073887497,0.03077345276040948,172.78096906131586,3.455984359163351,190,0.26333536777377065
210,1.192858322708279,2.1415807798280344,0.031054347145785685,164.31932226325705,3.294261118663245,198,0.19285832270827896
220,1.0580915022849944,2.144721945060829,0.031221093472962914,157.02701032454593,3.152331364446703,207,0.05809150228499438
230,1.3551578259624804,2.110370588764932,0.030642807810238763,151.28279909817567,3.0458040578616368,215,0.35515782596248036
240,1.319512476862853,2.107626793956604,0.030261387343242793,144.90529116695026,2.902411489382813,226,0.319512476862853
250,1.150688652355998,2.1084300810960017,0.03021052267935406,139.53199765355726,2.7911037883726872,237,0.15068865235599804
260,1.1024888285442076,2.1469559799415565,0.03159623347955403,131.97383806903213,2.66461684585027,242,0.1024888285442076
270,1.1177252025005175,2.1170768823288144,0.03056631158153204,128.42105405958188,2.578262405346517,255,0.11772520250051755
280,1.158126434843787,2.1073150541734273,0.030609692457903414,124.20502998430199,2.503428714632841,262,0.15812643484378697
290,1.2154464094921056,2.1144923027410845,0.030886501260269487,119.07192803498815,2.4070180368121337,271,0.21544640949210558
300,1.1192066428354208,2.104098605208668,0.03053561184753794,115.91752764978935,2.3367872588696303,281,0.11920664283542082
310,0.978567064580417,2.1300812689294544,0.031127327138147098,111.2212458998962,2.2435422357591595,290,0.02143293541958302
320,1.1295062885506677,2.132008478022479,0.03154253896034904,106.95288759328885,2.1726506591498267,296,0.1295062885506677
330,1.1223325207541548,2.0940915244569784,0.03043857864868065,105.45965714714879,2.1308161705767747,308,0.1223325207541548
340,1.1666501219333554,2.112374140764604,0.031054853901946473,101.07584335025881,2.052866227831137,316,0.16665012193335538
350,1.10852847363036,2.114844601520118,0.031117028167017377,98.26449679987391,1.9942838233106939,324,0.10852847363036
360,1.1324671285094963,2.0893010593065915,0.030540402061784967,96.4488481029945,1.9573554933657031,335,0.13246712850949627
370,1.1822178870875801,2.1032914489411025,0.031156566972655106,92.97697024250601,1.8968423546329114,339,0.18221788708758013
380,1.1711528920067806,2.085084731322136,0.030863187159048067,91.26914842565829,1.8653808071969675,349,0.17115289200678063
390,1.151450404314455,2.0884793889179085,0.0308514931625375,88.67930751375643,1.810589760890398,359,0.1514504043144549
400,1.1679712152827586,2.0810529299720875,0.030666740804641966,86.49500899400256,1.76707171884256,370,0.1679712152827586
410,1.1118840714099802,2.0957086279460158,0.03096917302073558,83.90021807516639,1.713572672197692,379,0.11188407140998025
420,1.0434616039562188,2.1009713344324696,0.03111634204151449,81.89162880382,1.6730801748119841,388,0.043461603956218786
430,1.165165918995945,2.0711727973592238,0.030435633627838524,80.50778328347323,1.6445264950518157,397,0.1651659189959449
440,1.0312394402882024,2.081319934997436,0.030780568273155846,78.85933585779038,1.6123057492123825,405,0.031239440288202358
450,1.0453912226181148,2.0814191144258563,0.03086519538723712,76.92494480386978,1.5758641151277724,414,0.04539122261811479
