nbins,red_chi2,tau_us,tau_err_us,A,A_err,n_fit_bins,score_abs
50,15.390175648396458,2.5141784889607113,0.031194764249373126,1132.0890678638696,21.331100686502506,45,14.390175648396458
60,3.066302310461278,2.3025592392306606,0.02829390969353004,1146.7730282072641,22.30491943269801,53,2.066302310461278
70,1.4420782191300892,2.1949497020887976,0.026566330331818714,1079.0690997238532,21.36802450142977,62,0.44207821913008916
80,16.902304998806933,2.6595418475672687,0.0347565577669151,631.6754948907151,12.206783384389013,71,15.902304998806933
90,3.8372564617896168,2.2956580573072305,0.027706359382077824,756.379391862929,14.573430322924768,80,2.8372564617896168
100,1.2221421523818292,2.2298215678503768,0.02727108456860077,733.242355860864,14.484357129504676,88,0.22214215238182922
110,46.69410124526314,3.732497039175023,0.0646672615282595,200.98004004266303,4.400410053015212,98,45.69410124526314
120,5.399372678077446,2.383561990831004,0.029598593879754425,525.4605774820582,10.212705659830487,106,4.399372678077446
130,1.90990938272034,2.243572112985107,0.0274601085747799,551.6357922194001,10.866275533877838,114,0.9099093827203399
140,1.2852945837611849,2.173618618443511,0.02629188120695143,543.708036283855,10.79972617308998,123,0.2852945837611849
150,11.770505629285818,2.6889209734409407,0.0358422357491087,324.325162215129,6.408968588629878,132,10.770505629285818
160,2.5330125651803677,2.2601628400590803,0.02746248142408851,436.51766424630415,8.53879875166459,141,1.5330125651803677
170,1.3084654747515638,2.1865350130141983,0.026531613867937624,440.86760311090165,8.741180180327904,149,0.30846547475156383
180,1.066582365890343,2.155923579626905,0.02603996553362671,428.91974217926986,8.55379302216165,158,0.06658236589034305
190,4.47204977928149,2.348796022239596,0.02897451371914982,334.938927358701,6.55207249170853,167,3.47204977928149
200,1.8191384049002586,2.179952596331737,0.02606178743770933,370.66665318414,7.2824757501409385,176,0.8191384049002586
210,1.179722668586601,2.172295748659359,0.0263872544882994,360.7584521816565,7.192616810970019,184,0.1797226685866009
220,11.417566444163329,2.773656699042206,0.03756622036102373,197.83198290745355,3.962099294556882,194,10.417566444163329
230,2.8917455862059525,2.261918428859757,0.027509839224867032,297.6012136956526,5.849244062921393,202,1.8917455862059525
240,1.3347229314748328,2.1596743843638806,0.025978365909353106,315.5292550789488,6.254531349444861,210,0.3347229314748328
250,1.071983546165947,2.14601570851764,0.026004805512187687,308.5948540533862,6.18070817060235,219,0.07198354616594704
260,4.704988438734997,2.4227327375707244,0.030566266350699145,227.64059800982662,4.498167749189364,228,3.704988438734997
270,1.939082178644807,2.191793138961409,0.026438127969599844,269.1924453482609,5.324356161544499,237,0.9390821786448069
280,1.204271972220675,2.1373325403611294,0.02575456398629128,274.8230592624764,5.4858706787001426,245,0.20427197222067495
290,12.530723690689713,3.091622605220871,0.04622244853076621,116.42376323459692,2.435563833480714,255,11.530723690689713
300,2.4983556848691637,2.261078471307732,0.027752651794396323,227.01388044570587,4.50038259102682,263,1.4983556848691637
310,1.4571961308748675,2.1404639744590694,0.025651025608122522,244.6714127861544,4.863784620267249,272,0.45719613087486755
320,1.1408570793037265,2.119124906821052,0.025454435452339007,243.49758453944426,4.868805917006296,279,0.14085707930372648
330,4.784526669476244,2.4296540200796226,0.030544313563481206,172.90942542258892,3.4252166329902023,290,3.784526669476244
340,1.7151763240932858,2.1663395411566597,0.026014676172384205,216.4325889731222,4.2907108938277085,298,0.7151763240932858
350,1.3026345105634338,2.134862695317288,0.025863630581877232,218.07905847045572,4.375801939461445,305,0.3026345105634338
360,1.0683262402622113,2.102994740163855,0.025219769215919702,218.77071122683125,4.387560457351794,314,0.06832624026221135
370,2.43560444895833,2.236983709999966,0.02731516867591161,184.63224712157376,3.668129469104689,323,1.4356044489583302
380,1.449258204784408,2.1388215893341798,0.025776339966344628,198.3631420267641,3.9619458451952365,331,0.44925820478440803
390,1.1712664550942067,2.11387992388038,0.02549772624913098,198.88883765586118,3.9952678172838723,339,0.17126645509420668
400,6.622595601673061,2.7067179185375068,0.036812911371944784,111.78724430613005,2.2733758274607747,348,5.622595601673061
410,1.4605989592758817,2.1909337002167306,0.026889485540913787,176.84484338650816,3.5422110798998525,355,0.4605989592758817
420,1.189529730474982,2.144304648087799,0.026159607415191664,180.0624101334382,3.6238814295040496,364,0.1895297304749819
430,1.1067731592169034,2.1178846297849083,0.025664095134122877,179.8422071160851,3.625705188946059,374,0.10677315921690345
440,2.6977669512321025,2.2851436588513074,0.028166886369950163,146.94475409960958,2.926159337088457,384,1.6977669512321025
450,1.3652771148514395,2.146578814823087,0.026012714953056352,165.74767432367716,3.322211462005807,392,0.36527711485143954
