file,group_id,peak_in_group,n_peaks_in_group,theoretical_energy_keV,theoretical_energy_keV_err,clicked_center_ADC,center_ADC,center_ADC_err,sigma_ADC,sigma_ADC_err,amplitude_counts_per_s,amplitude_counts_per_s_err,gaussian_area_counts,fit_xmin,fit_xmax,background_slope,background_intercept,energy_keV,energy_err_keV,sigma_keV,sigma_err_keV,fit_xmin_keV,fit_xmax_keV
data/mystery/mystery_10cmdistance_angle0_preamp0.csv,1,1,11,,,49,46.95919500507849,0.3304133013532661,9.348778425795215,0.6648244949096416,11.603111292213098,0.7395544313677396,271.9062928,29,775,-0.009846744,7.307221893370406,57.95539149172919,2.1003944103186347,12.317689101929965,0.8770202119532584,34.292858215391156,1017.2016032430207
data/mystery/mystery_10cmdistance_angle0_preamp0.csv,1,2,11,,,94,83.93744785905311,8.340047171384535,6.570062895711272,11.12453412582204,0.2871211209725139,0.4167845151160707,4.728513161298324,29,775,-0.009846744,7.307221893370406,106.67690369818301,11.183704333861451,8.656531200504237,14.657406653967563,34.292858215391156,1017.2016032430207
data/mystery/mystery_10cmdistance_angle0_preamp0.csv,1,3,11,,,119,177.7473164477369,1.8696022210102488,69.86329258157315,4.4821286033583405,13.673260751186971,1.2194046477691405,2394.4792601152576,29,775,-0.009846744,7.307221893370406,230.27816402755303,3.3043211769050687,92.04992122634339,5.9143566306897,34.292858215391156,1017.2016032430207
data/mystery/mystery_10cmdistance_angle0_preamp0.csv,1,4,11,,,173,174.86982365777163,0.2056663371292624,9.742703334908969,0.2566886710809392,14.03220251,0.2958069219432658,342.6851275102516,29,775,-0.009846744,7.307221893370406,226.48685996989778,2.214102845114507,12.836713549721013,0.34119308875258686,34.292858215391156,1017.2016032430207
data/mystery/mystery_10cmdistance_angle0_preamp0.csv,1,5,11,,,248,252.55636557723977,0.4832970339529399,11.207326986370644,0.6220213885814828,6.470012217180805,0.2924807315048992,181.75948272716045,29,775,-0.009846744,7.307221893370406,328.84447581922853,2.438091568424695,14.766460728267903,0.8211948148393537,34.292858215391156,1017.2016032430207
data/mystery/mystery_10cmdistance_angle0_preamp0.csv,1,6,11,,,381,387.0369845821864,3.5154252944449182,61.030929449953945,4.852047519538574,6.915510837387717,0.8710519700842687,1057.947665,29,775,-0.009846744,7.307221893370406,506.0323799166694,5.369516897639076,80.41264647925473,6.399148034780339,34.292858215391156,1017.2016032430207
data/mystery/mystery_10cmdistance_angle0_preamp0.csv,1,7,11,,,435,440.2223255307521,0.4294395668184473,12.722792696824596,0.6044576057704298,8.421350632476372,0.3485355896788814,268.5679196911835,29,775,-0.009846744,7.307221893370406,576.1078983156256,2.9391832649929137,16.763195982416295,0.7985863649662438,34.292858215391156,1017.2016032430207
data/mystery/mystery_10cmdistance_angle0_preamp0.csv,1,8,11,,,550,550.1255078123999,11.28341062107925,31.042372204976694,10.237659465091848,3.3163643062296293,0.8548360267274465,258.0519042947491,29,775,-0.009846744,7.307221893370406,720.9132588665602,15.220539880113588,40.90056180519331,13.489617628062259,34.292858215391156,1017.2016032430207
data/mystery/mystery_10cmdistance_angle0_preamp0.csv,1,9,11,,,590,602.0818086641289,12.91835611151336,20.64437899084487,11.60551277,1.3211391003215374,1.2800464514499312,68.36602091715443,29,775,-0.009846744,7.307221893370406,789.3694283926338,17.367662897786115,27.200456629713262,15.291397154365987,34.292858215391156,1017.2016032430207
data/mystery/mystery_10cmdistance_angle0_preamp0.csv,1,10,11,,,681,678.5983947427565,3.4677858455827213,10.198676911516966,4.379790140469978,1.0452814692353645,0.3840485555564362,26.721880607891965,29,775,-0.009846744,7.307221893370406,890.1855431330392,5.9074035519154275,13.437491587186866,5.770881740718146,34.292858215391156,1017.2016032430207
data/mystery/mystery_10cmdistance_angle0_preamp0.csv,1,11,11,,,728,696.6524751867971,2.5262702474122145,42.89594979,4.999605434463225,7.196808268,0.7514771855200735,773.8310560303605,29,775,-0.009846744,7.307221893370406,913.9730948111624,5.062727460424179,56.51850425584064,6.590325973826253,34.292858215391156,1017.2016032430207
